,date,lat_bin,lon_bin,Element,Element_value,Element_dis,Element_greater_than_max
137152,2015-02-16,5120,211,lead,840.0,11.052025622083706,0.0
137153,2015-02-16,5120,241,lead,1210.0,9.13134647895861,0.0
137154,2015-02-16,5120,213,lead,840.0,10.632935832544161,0.0
137155,2015-02-16,5120,212,lead,840.0,10.837956378091134,0.0
137156,2015-02-16,5121,211,lead,840.0,11.54614457760682,0.0
137157,2015-02-16,5121,243,lead,1210.0,9.868913384590389,0.0
137158,2015-02-16,5121,244,lead,1210.0,9.9619797817554,0.0
137159,2015-02-16,5121,242,lead,1210.0,9.789473859430673,0.0
137160,2015-02-16,5121,213,lead,840.0,11.145738205776949,0.0
137161,2015-02-16,5122,246,lead,1210.0,10.755351958071984,0.0
137162,2015-02-16,5122,213,lead,840.0,11.666902269644563,0.0
137163,2015-02-16,5122,214,lead,840.0,11.489143537036567,0.0
137164,2015-02-16,5122,241,lead,1210.0,10.317540864195646,0.0
137165,2015-02-16,5122,244,,,,
137166,2015-02-16,5122,245,,,,
137167,2015-02-16,5122,248,lead,1210.0,11.016129093918941,0.0
137168,2015-02-16,5123,253,lead,1210.0,12.374401748572819,0.0
137169,2015-02-16,5123,245,lead,1210.0,11.21961307983925,0.0
137170,2015-02-16,5123,252,lead,1210.0,12.195356069921631,0.0
137171,2015-02-16,5123,242,lead,1210.0,10.970202889337516,0.0
137172,2015-02-16,5123,248,lead,1210.0,11.574472150757154,0.0
137173,2015-02-16,5123,246,lead,1210.0,11.326611739681494,0.0
137174,2015-02-16,5123,214,lead,840.0,12.025448590829566,0.0
137175,2015-02-16,5123,247,lead,1210.0,11.445014758424112,0.0
137176,2015-02-16,5123,255,,,,
137177,2015-02-16,5124,239,lead,1210.0,11.432549639846622,0.0
137178,2015-02-16,5124,243,lead,1210.0,11.629412024567163,0.0
137179,2015-02-16,5124,256,,,,
137180,2015-02-16,5124,246,lead,1210.0,11.900741336681461,0.0
137181,2015-02-16,5124,248,lead,1210.0,12.136831708041285,0.0
137182,2015-02-16,5124,244,,,,
137183,2015-02-16,5124,257,lead,1210.0,13.670627831569979,0.0
137184,2015-02-16,5124,247,lead,1210.0,12.013462791153685,0.0
137185,2015-02-16,5125,249,lead,1210.0,12.830447143142603,0.0
137186,2015-02-16,5125,240,lead,1210.0,12.061147297220165,0.0
137187,2015-02-16,5125,248,lead,1210.0,12.70267433400767,0.0
137188,2015-02-16,5125,244,lead,1210.0,12.294107624944091,0.0
137189,2015-02-16,5125,242,lead,1210.0,12.154867234013343,0.0
137190,2015-02-16,5126,195,total mercury,97.0,15.683126898125076,1.0
137191,2015-02-16,5126,241,lead,1210.0,12.698175100834133,0.0
137192,2015-02-16,5126,250,lead,1210.0,13.525577533557419,0.0
137193,2015-02-16,5126,249,,,,
137194,2015-02-16,5127,251,lead,1210.0,14.221994230206327,0.0
137195,2015-02-16,5127,242,lead,1210.0,13.342418692811176,0.0
137196,2015-02-16,5127,241,,,,
137197,2015-02-16,5128,197,total mercury,97.0,16.828225436702795,1.0
