,date,lat_bin,lon_bin,Element,Element_value,Element_dis
137152,2015-02-16,5120,211,pyrene,21.3,11.052025622083706
137153,2015-02-16,5120,241,lead,1210.0,9.13134647895861
137154,2015-02-16,5120,213,pyrene,21.3,10.632935832544161
137155,2015-02-16,5120,212,pyrene,21.3,10.837956378091134
137156,2015-02-16,5121,211,pyrene,21.3,11.54614457760682
137157,2015-02-16,5121,243,lead,1210.0,9.868913384590389
137158,2015-02-16,5121,244,lead,1210.0,9.9619797817554
137159,2015-02-16,5121,242,lead,1210.0,9.789473859430673
137160,2015-02-16,5121,213,pyrene,21.3,11.145738205776949
137161,2015-02-16,5122,246,lead,1210.0,10.755351958071984
137162,2015-02-16,5122,213,pyrene,21.3,11.666902269644563
137163,2015-02-16,5122,214,pyrene,21.3,11.489143537036567
137164,2015-02-16,5122,241,lead,1210.0,10.317540864195646
137165,2015-02-16,5122,244,,,
137166,2015-02-16,5122,245,,,
137167,2015-02-16,5122,248,lead,1210.0,11.016129093918941
137168,2015-02-16,5123,253,lead,1210.0,12.374401748572819
137169,2015-02-16,5123,245,lead,1210.0,11.21961307983925
137170,2015-02-16,5123,252,lead,1210.0,12.195356069921631
137171,2015-02-16,5123,242,lead,1210.0,10.970202889337516
137172,2015-02-16,5123,248,lead,1210.0,11.574472150757154
137173,2015-02-16,5123,246,lead,1210.0,11.326611739681494
137174,2015-02-16,5123,214,pyrene,21.3,12.025448590829566
137175,2015-02-16,5123,247,lead,1210.0,11.445014758424112
137176,2015-02-16,5123,255,,,
137177,2015-02-16,5124,239,lead,1210.0,11.432549639846622
137178,2015-02-16,5124,243,lead,1210.0,11.629412024567163
137179,2015-02-16,5124,256,,,
137180,2015-02-16,5124,246,lead,1210.0,11.900741336681461
137181,2015-02-16,5124,248,lead,1210.0,12.136831708041285
137182,2015-02-16,5124,244,,,
137183,2015-02-16,5124,257,lead,1210.0,13.670627831569979
137184,2015-02-16,5124,247,lead,1210.0,12.013462791153685
137185,2015-02-16,5125,249,lead,1210.0,12.830447143142603
137186,2015-02-16,5125,240,lead,1210.0,12.061147297220165
137187,2015-02-16,5125,248,lead,1210.0,12.70267433400767
137188,2015-02-16,5125,244,lead,1210.0,12.294107624944091
137189,2015-02-16,5125,242,lead,1210.0,12.154867234013343
137190,2015-02-16,5126,195,total mercury,97.0,15.683126898125076
137191,2015-02-16,5126,241,lead,1210.0,12.698175100834133
137192,2015-02-16,5126,250,lead,1210.0,13.525577533557419
137193,2015-02-16,5126,249,,,
137194,2015-02-16,5127,251,lead,1210.0,14.221994230206327
137195,2015-02-16,5127,242,lead,1210.0,13.342418692811176
137196,2015-02-16,5127,241,,,
137197,2015-02-16,5128,197,total mercury,97.0,16.828225436702795
137198,2015-02-16,5128,243,lead,1210.0,13.992874834781764
137199,2015-02-16,5128,244,lead,1210.0,14.058567909782473
137200,2015-02-16,5129,199,total mercury,97.0,17.411757170634797
137201,2015-02-16,5129,244,lead,1210.0,14.648709653837363
137202,2015-02-16,5129,204,pyrene,21.3,17.00800037416195
137203,2015-02-16,5129,202,pyrene,21.3,17.419651024782578
137204,2015-02-16,5131,213,pyrene,21.3,16.600076359898665
137205,2015-02-16,5131,217,pyrene,21.3,16.15022835438825
137206,2015-02-16,5131,207,pyrene,21.3,17.497460388830294
137207,2015-02-16,5132,206,pyrene,21.3,18.20283964910557
137208,2015-02-16,5132,209,pyrene,21.3,17.717871620524626
137209,2015-02-16,5132,210,pyrene,21.3,17.569367990520206
137210,2015-02-16,5132,207,pyrene,21.3,18.034780695049413
137211,2015-02-16,5133,204,pyrene,21.3,19.083559953819716
137212,2015-02-16,5134,211,pyrene,21.3,18.549456795797216
137213,2015-02-16,5135,202,pyrene,21.3,20.49675205896891
137214,2015-02-16,5396,499,zinc,43500.0,150.2645856202807
137215,2015-02-16,5398,498,zinc,43500.0,149.6026905340348
137216,2015-02-16,5144,191,total mercury,97.0,26.588579324456457
137217,2015-02-16,5400,497,zinc,43500.0,148.9481027272235
137218,2015-02-16,5145,311,lead,1210.0,36.74422747276236
137219,2015-02-16,5145,310,lead,1210.0,36.46063685825424
137220,2015-02-16,5145,191,total mercury,97.0,27.185177695659274
137221,2015-02-16,5145,312,lead,1210.0,37.02945999179365
137222,2015-02-16,5145,309,lead,1210.0,36.178726764310646
137223,2015-02-16,5146,313,lead,1210.0,37.703144178297656
137224,2015-02-16,5146,309,lead,1210.0,36.577857048075394
137225,2015-02-16,5146,312,lead,1210.0,37.41933519852186
137226,2015-02-16,5146,315,lead,1210.0,38.275515517592304
137227,2015-02-16,5146,311,lead,1210.0,37.137159188341975
137228,2015-02-16,5147,316,lead,1210.0,38.947533106800684
137229,2015-02-16,5147,314,lead,1210.0,38.37795205620663
137230,2015-02-16,5147,312,lead,1210.0,37.81472389397342
137231,2015-02-16,5147,313,lead,1210.0,38.09552617596903
137232,2015-02-16,5147,311,lead,1210.0,37.535581653732955
137233,2015-02-16,5147,315,lead,1210.0,38.66196594834251
137234,2015-02-16,5148,193,total mercury,97.0,28.907571002113723
137235,2015-02-16,5148,315,lead,1210.0,39.05382298288914
137236,2015-02-16,5148,317,lead,1210.0,39.62069024843807
137237,2015-02-16,5404,497,zinc,43500.0,147.18026410879892
137238,2015-02-16,5149,319,lead,1210.0,40.579314780221274
137239,2015-02-16,5149,320,lead,1210.0,40.86517569993877
137240,2015-02-16,5149,312,lead,1210.0,38.62136205937505
137241,2015-02-16,5149,194,pyrene,21.3,29.343125408638652
137242,2015-02-16,5405,502,zinc,43500.0,145.54270376496743
137243,2015-02-16,5405,500,zinc,43500.0,146.020806961424
137244,2015-02-16,5150,195,pyrene,21.3,29.725657239447113
137245,2015-02-16,5150,312,lead,1210.0,39.0322837531584
137246,2015-02-16,5150,321,lead,1210.0,41.53783745412463
137247,2015-02-16,5406,497,zinc,43500.0,146.30311403996893
137248,2015-02-16,5151,322,lead,1210.0,42.21153869634222
137249,2015-02-16,5151,312,lead,1210.0,39.44806332021039
137250,2015-02-16,5152,196,pyrene,21.3,30.67101571636176
137251,2015-02-16,5152,323,lead,1210.0,42.88622825544659
137252,2015-02-16,5152,324,lead,1210.0,43.169701203288504
137253,2015-02-16,5152,312,lead,1210.0,39.86854877602225
137254,2015-02-16,5153,325,lead,1210.0,43.84411708715229
137255,2015-02-16,5154,326,lead,1210.0,44.51945778268944
137256,2015-02-16,5154,197,pyrene,21.3,31.638292053326012
137257,2015-02-16,5154,312,lead,1210.0,40.72305263944425
137258,2015-02-16,5155,198,pyrene,21.3,32.06312443259114
