time;longitude;latitude;pollutant;value;unit;risk
2015-02-16T00:00:00;2.29;51.052;Cd;580;ug/kg;danger
2015-02-16T00:00:00;2.29;51.052;total_Hg;0;ug/kg;safe
2015-02-16T00:00:00;2.29;51.052;Pb;1240;ug/kg;danger
2015-02-16T00:00:00;2.29;51.052;Zn;92000;ug/kg;safe
2015-02-23T00:00:00;2.37;51.052;Cd;370;ug/kg;danger
2015-02-23T00:00:00;2.37;51.052;total_Hg;0;ug/kg;safe
2015-02-23T00:00:00;2.37;51.052;Pb;950;ug/kg;danger
2015-02-23T00:00:00;2.37;51.052;Zn;86000;ug/kg;safe
2015-10-29T00:00:00;2.37;51.052;Cd;170;ug/kg;danger
2015-10-29T00:00:00;2.37;51.052;total_Hg;80;ug/kg;safe
2015-10-29T00:00:00;2.37;51.052;Pb;500;ug/kg;danger
2015-10-29T00:00:00;2.37;51.052;Zn;46000;ug/kg;safe
2015-11-12T00:00:00;2.29;51.052;Cd;300;ug/kg;danger
2015-11-12T00:00:00;2.29;51.052;total_Hg;81;ug/kg;safe
2015-11-12T00:00:00;2.29;51.052;Pb;850;ug/kg;danger
2015-11-12T00:00:00;2.29;51.052;Zn;56000;ug/kg;safe
2016-01-28T00:00:00;2.37;51.052;Cd;290;ug/kg;danger
2016-01-28T00:00:00;2.37;51.052;total_Hg;0;ug/kg;safe
2016-01-28T00:00:00;2.37;51.052;Pb;1040;ug/kg;danger
2016-01-28T00:00:00;2.37;51.052;Zn;76000;ug/kg;safe
2016-02-11T00:00:00;2.29;51.052;Cd;690;ug/kg;danger
2016-02-11T00:00:00;2.29;51.052;total_Hg;0;ug/kg;safe
2016-02-11T00:00:00;2.29;51.052;Pb;1780;ug/kg;danger
2016-02-11T00:00:00;2.29;51.052;Zn;119000;ug/kg;safe
